Numero ;nom ;prénom;groupe ;date ;bac ;Lycée/Etablissement 
20150987;toto;toto;A_1;23/03/1992;STII;
20150988;tati ;tati ;A_1;17/01/1994;S;lycée trou de ta mere
20150989;titi;titi;B_2;05/07/1990;STII;enculer 
20150990;tata;tata;C_1;22/01/1997;S;lycée trou de ta mere
20150991;tota;tota;B_1;24/10/1997;STII;enculer 
20150992;toto;toto;A_2;17/07/1996;S;lycée trou de ta mere
20150993;tati ;tati ;C_2;14/11/1996;STII;enculer 
20150994;titi;tati ;A_1;29/02/1996;S;lycée trou de ta mere
20150995;tata;titi;A_1;12/04/1990;STII;enculer 
20150996;tota;tata;B_2;23/11/1999;S;lycée trou de ta mere
20150997;toto;tota;C_1;06/07/1992;STII;enculer 
20150998;tati ;toto;B_1;13/02/1993;S;lycée trou de ta mere
20150999;titi;tati ;A_2;17/09/1999;STII;enculer 
20151000;tata;tati ;C_2;04/12/1993;S;lycée trou de ta mere
20151001;tota;titi;A_1;09/01/1999;STII;enculer 
20151002;toto;tata;A_1;19/05/1993;S;lycée trou de ta mere
20151003;tati ;tota;B_2;30/04/2000;STII;enculer 
20151004;titi;toto;C_1;21/01/1991;S;lycée trou de ta mere
20151005;tata;tati ;B_1;16/09/1990;STII;enculer 
20151006;tota;tati ;A_2;09/01/1995;S;lycée trou de ta mere
20151007;toto;titi;C_2;27/01/1996;STII;enculer 
